Source,Amount,Frequency,Start Date,End Date
Rental,3313.92,Monthly,2025-05-07,2027-02-01
Job,441.54,Quarterly,2025-04-22,2026-03-08
Rental,846.76,Weekly,2025-10-19,2026-07-14
Investment,884.77,Monthly,2025-06-13,2026-03-30
Job,3157.06,Monthly,2025-09-09,2026-09-29
Rental,2896.77,Quarterly,2025-05-31,2026-07-30
Investment,2789.93,Quarterly,2025-07-04,2026-08-08
Rental,4893.77,Quarterly,2025-09-30,2026-12-11
Investment,310.54,Weekly,2025-04-22,2027-01-30
Rental,2525.38,Quarterly,2025-08-30,2026-10-31
Investment,2942.79,Weekly,2026-01-19,2026-07-02
Freelance,1302.89,Weekly,2025-05-11,2026-08-16
Job,323.87,Weekly,2025-02-13,2026-07-02
Freelance,1387.58,Weekly,2025-12-14,2026-07-24
Job,1463.9,Quarterly,2025-12-17,2026-09-11
Freelance,4061.14,Weekly,2025-12-13,2026-04-30
Investment,462.27,Weekly,2025-06-20,2026-08-31
Investment,1112.43,Quarterly,2025-05-26,2027-02-05
Job,2813.26,Monthly,2025-05-21,2026-11-18
Freelance,4367.02,Quarterly,2025-03-07,2026-02-24
